,id,amount_tsh,gps_height,region_code,district_code,population,public_meeting,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group
16392,58536,2000.0,1024,11,1,1,1,1,1989,0,0,0,0,0,0,0,2
4582,29259,0.0,0,1,1,482,1,0,1987,4,0,2,0,0,0,0,2
39532,51783,0.0,0,17,3,593,1,1,2003,2,0,3,0,0,0,1,2
2838,4926,0.0,0,14,4,474,1,1,1996,2,2,1,0,0,0,1,2
38639,25782,0.0,1420,13,2,1,0,0,1970,4,0,3,0,1,0,0,0
31932,17477,0.0,650,3,3,50,1,1,1975,0,0,1,0,1,0,0,0
47027,37136,0.0,0,18,30,686,1,0,1995,0,0,1,0,1,0,2,1
7464,4203,0.0,844,10,5,250,1,0,1982,0,0,1,0,0,1,0,0
9086,23586,0.0,0,14,3,545,1,1,1990,2,0,1,0,2,0,1,0
48610,43454,0.0,26,6,2,1,1,1,2005,3,0,1,0,0,0,1,0
1524,58337,0.0,1530,13,2,1,1,0,1980,2,0,3,5,2,0,1,0
5523,64030,0.0,0,18,7,457,1,1,2003,2,0,4,0,0,0,1,2
56570,6732,0.0,356,9,4,200,1,1,1982,1,0,1,0,2,0,0,0
48805,24825,0.0,0,17,1,757,1,0,1990,2,0,3,0,0,0,1,2
52313,20170,0.0,1312,17,1,820,1,0,2006,0,3,1,0,3,1,0,1
49774,28289,500.0,363,5,6,460,1,1,1996,2,0,6,0,0,0,1,1
58421,72997,0.0,1566,13,2,1,1,0,1990,3,0,3,5,2,0,2,0
31316,58884,0.0,1599,2,2,300,1,1,1990,0,0,1,0,1,0,0,2
56401,5461,250.0,1068,16,2,320,1,1,1986,0,0,6,0,1,1,0,0
40181,65565,0.0,0,17,2,693,1,0,1984,2,0,3,0,0,0,1,0
4035,53068,100.0,1096,10,4,6000,1,1,2009,2,1,2,0,0,0,1,2
23300,44662,0.0,1557,13,2,500,1,0,1990,2,0,1,0,1,0,1,2
10045,62178,0.0,129,90,33,1,1,0,1978,4,0,3,1,0,0,0,0
35927,30516,0.0,374,4,2,250,1,0,2003,2,0,1,0,0,0,1,2
1839,19226,0.0,0,1,5,481,1,0,1988,4,0,6,1,1,0,0,2
4986,45911,25.0,704,3,4,180,1,1,2008,1,0,2,0,0,0,0,2
32195,6339,30.0,449,3,3,240,1,0,2008,3,0,2,0,0,0,2,0
31720,66323,0.0,0,12,7,802,1,0,1984,0,0,1,0,3,1,0,1
79,52561,0.0,0,17,5,812,1,1,1993,2,0,3,0,1,0,1,2
49890,1816,0.0,1079,2,7,120,1,1,1963,0,0,3,0,1,0,0,0
5775,61526,0.0,315,5,3,250,1,1,1997,0,0,1,5,1,1,0,0
7496,70156,0.0,1260,20,2,10,0,0,1997,0,1,3,0,3,1,0,2
22112,15564,300.0,349,5,4,500,1,1,1997,2,0,6,0,0,0,1,2
56850,49320,0.0,0,12,6,356,0,0,1990,2,0,4,0,0,0,1,2
48457,1189,0.0,1602,10,3,123,0,1,2010,0,3,3,0,0,0,0,2
24696,63237,0.0,0,17,6,493,1,1,2001,2,0,1,0,0,0,1,1
22883,18959,0.0,53,80,13,45,0,1,2012,1,0,3,0,0,0,0,2
51337,68140,200.0,652,5,1,100,1,1,2007,0,0,6,0,0,1,0,2
5,9944,20.0,0,4,8,1,1,1,2009,1,0,2,1,0,2,0,2
51971,30330,0.0,0,12,7,317,1,1,2003,0,0,6,0,1,1,0,1
30472,73688,0.0,525,3,3,150,1,1,1994,0,0,1,0,0,1,0,0
50066,31587,100.0,1909,11,7,200,1,1,1975,0,0,2,0,0,1,0,2
52660,49161,0.0,-3,6,1,30,1,1,2004,4,2,1,0,0,1,0,2
36650,49135,0.0,1260,16,1,450,1,0,2007,0,0,3,0,0,0,0,2
13698,16114,0.0,1346,16,1,250,1,0,2007,0,0,3,0,1,0,0,2
45353,61519,0.0,0,19,4,520,1,1,1990,2,0,0,0,0,0,1,2
